n,C(n),S(n),paradigma
1,1,0,FB
1,1,0,GUL
1,0,0,OT
2,4,1,FB
2,4,1,GUL
2,2,1,OT
3,12,2,FB
3,9,2,GUL
3,12,2,OT
4,32,0,FB
4,16,2,GUL
4,24,0,OT
5,80,0,FB
5,25,2,GUL
5,40,0,OT
6,192,0,FB
6,36,0,GUL
6,54,0,OT
7,448,0,FB
7,49,6,GUL
7,63,0,OT
8,1024,0,FB
8,64,4,GUL
8,168,0,OT
9,2304,0,FB
9,81,8,GUL
9,162,0,OT
10,5120,0,FB
10,100,2,GUL
10,200,0,OT
11,11264,1,FB
11,121,7,GUL
11,385,1,OT
12,24576,1,FB
12,144,3,GUL
12,516,1,OT
13,53248,0,FB
13,169,10,GUL
13,429,0,OT
14,114688,1,FB
14,196,7,GUL
14,714,1,OT
15,245760,0,FB
15,225,8,GUL
15,780,0,OT
16,524288,0,FB
16,256,8,GUL
16,1168,0,OT
17,1114112,0,FB
17,289,6,GUL
17,1292,0,OT
18,2359296,0,FB
18,324,8,GUL
18,1188,0,OT
19,4980736,1,FB
19,361,7,GUL
19,1862,1,OT
20,10485760,1,FB
20,400,11,GUL
20,1720,1,OT
21,22020096,1,FB
21,441,13,GUL
21,2331,1,OT
22,46137344,0,FB
22,484,14,GUL
22,2728,0,OT
23,96468992,1,FB
23,529,9,GUL
23,2967,1,OT
24,201326592,0,FB
24,576,10,GUL
24,3432,0,OT
25,419430400,0,FB
25,625,14,GUL
25,4000,0,OT
26,872415232,1,FB
26,676,13,GUL
26,4368,1,OT
27,1811939328,1,FB
27,729,15,GUL
27,4185,1,OT
28,3758096384,1,FB
28,784,11,GUL
28,6048,1,OT
29,7784628224,0,FB
29,841,10,GUL
29,6351,0,OT
30,16106127360,1,FB
30,900,3,GUL
30,8610,1,OT
